system:index,date,ssrd_sum_J_m2,.geo
20040817,2004-08-17,1.6627675091967162E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040818,2004-08-18,2.2260889599060852E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040819,2004-08-19,1.977116496237432E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040820,2004-08-20,2.22902759501535E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040821,2004-08-21,2.300167155423112E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040822,2004-08-22,2.102386433568117E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040823,2004-08-23,2.147993042281218E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040824,2004-08-24,2.2730621567435242E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040825,2004-08-25,2.0247112039532032E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040826,2004-08-26,2.224451551084622E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040827,2004-08-27,2.042886694335078E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040828,2004-08-28,2.293688668276042E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040829,2004-08-29,2.354254579194509E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040830,2004-08-30,2.4659791776934955E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040831,2004-08-31,1.8851618610719796E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040901,2004-09-01,2.003210792912326E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040902,2004-09-02,2.0003309978086807E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040903,2004-09-03,2.3966142771456663E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040904,2004-09-04,2.4021672923644975E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040905,2004-09-05,2.2402393859771643E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040906,2004-09-06,2.113567502827443E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040907,2004-09-07,2.138122849421066E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040908,2004-09-08,2.335086667641923E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040909,2004-09-09,2.326790187927677E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040910,2004-09-10,2.1727672178957716E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040911,2004-09-11,2.3567505281560402E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040912,2004-09-12,2.170633639431702E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040913,2004-09-13,1.851832319683743E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040914,2004-09-14,2.2564089692854125E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040915,2004-09-15,2.261645751959544E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040916,2004-09-16,2.2939537961270638E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040917,2004-09-17,2.3660094999377914E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040918,2004-09-18,2.2496084140549418E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040919,2004-09-19,2.376778233833002E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040920,2004-09-20,2.3251292820179388E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040921,2004-09-21,2.247187915826861E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040922,2004-09-22,1.4208147783414103E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040923,2004-09-23,1.504917907425542E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040924,2004-09-24,1.5626866797563352E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040925,2004-09-25,1.4981209880296798E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040926,2004-09-26,1.5613537232999722E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040927,2004-09-27,1.4639376594497405E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040928,2004-09-28,1.476895398499715E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040929,2004-09-29,1.4723619094736867E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040930,2004-09-30,1.3546713429367222E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20041001,2004-10-01,1.4729982954866415E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20041002,2004-10-02,1.4564495465738727E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20041003,2004-10-03,1.447679516417477E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20041004,2004-10-04,1.3887251020744245E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20041005,2004-10-05,1.4735869740623316E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20041006,2004-10-06,1.207736518147336E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20041007,2004-10-07,1.410177099570089E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20041008,2004-10-08,1.5155499154176755E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20041009,2004-10-09,1.5831386601637872E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20041010,2004-10-10,2.4019636229165412E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20041011,2004-10-11,2.299579649525414E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
